id,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10
61878,4,2,4,1,5,1,5,3,3,1,1,5,5,2,2,1,2,1,1,1,1,5,1,5,1,5,1,5,5,5,3,2,5,1,5,1,5,1,5,4,4,1,5,1,5,1,5,3,5,5
806182,3,1,3,3,3,1,1,3,3,5,4,2,4,5,4,2,1,1,1,1,1,3,1,5,1,4,1,4,5,4,2,5,4,4,1,5,3,3,1,2,5,1,3,1,5,1,4,4,5,5
707921,5,3,4,2,5,2,3,3,3,2,3,5,4,3,1,1,2,1,2,2,1,5,1,5,2,5,2,5,5,5,3,5,4,3,1,5,5,3,2,2,3,2,5,1,5,1,4,2,5,5
776196,1,4,1,4,2,2,2,5,1,4,5,1,5,2,2,4,4,5,4,5,1,4,2,5,1,4,2,5,5,4,4,4,5,4,2,3,5,2,5,4,4,2,5,2,3,1,5,4,5,5
420673,3,2,5,1,4,1,2,5,5,4,5,4,4,1,5,1,3,3,4,1,2,2,1,4,1,5,1,3,5,4,4,2,5,2,3,2,5,3,5,4,3,2,2,1,5,3,5,3,3,3
100274,4,1,5,3,4,2,3,3,2,3,3,3,4,5,2,3,3,1,3,2,1,5,2,5,1,4,1,3,4,3,2,4,4,3,3,3,3,3,3,4,5,1,5,1,4,5,5,2,5,5
150415,2,4,3,3,2,3,2,4,2,3,2,3,3,3,4,3,3,2,3,3,5,4,2,4,2,4,2,3,3,4,3,2,2,2,4,3,4,2,5,4,1,2,4,4,2,3,2,2,5,3
75554,3,2,3,4,3,2,2,4,3,5,2,4,2,2,3,4,3,2,1,2,4,3,2,4,2,4,3,3,4,4,3,2,3,2,2,2,4,2,4,5,3,1,3,2,4,2,5,2,5,4
874409,2,4,2,4,3,4,1,5,2,5,3,3,5,1,5,3,4,4,1,5,1,4,1,4,1,4,2,4,4,3,4,4,3,4,2,4,4,2,1,3,4,2,4,1,3,2,5,2,5,4
461046,4,5,5,4,3,3,5,5,1,5,1,5,3,5,1,1,5,4,1,5,4,1,2,2,5,5,5,3,5,5,5,1,5,3,5,1,5,1,5,5,4,1,2,1,5,4,5,4,3,5
131410,4,2,4,1,4,1,4,3,4,2,1,5,2,4,1,1,3,1,1,1,1,5,3,4,2,4,2,4,4,5,4,2,4,2,4,2,4,1,4,5,4,2,5,2,5,1,4,4,4,5
267342,3,3,4,2,3,2,2,1,5,3,5,1,4,2,3,4,4,4,4,4,1,4,3,5,2,5,1,5,4,3,2,2,5,2,1,5,4,2,2,4,4,1,5,1,4,1,5,3,5,3
105759,1,5,1,5,2,1,1,4,4,5,5,2,4,4,3,4,3,3,5,3,2,1,3,5,3,5,4,4,4,4,4,1,5,1,3,4,5,1,5,5,5,2,3,5,5,3,4,1,5,3
306959,5,1,5,3,5,1,5,3,5,1,1,5,5,1,1,5,5,5,5,5,1,5,5,5,5,5,2,3,5,5,5,5,5,5,1,5,5,5,2,5,5,1,5,1,5,1,5,3,5,5
267472,2,5,3,4,3,2,3,4,3,3,4,3,4,3,2,4,2,1,2,3,2,3,2,4,4,3,3,4,3,3,5,1,4,1,2,1,5,1,5,5,4,1,3,1,3,3,4,4,5,4
755633,1,4,3,4,3,5,3,5,2,5,3,4,1,1,2,1,1,1,4,1,4,4,4,5,4,5,4,2,4,3,3,5,4,1,1,5,3,5,1,1,5,1,5,1,5,1,5,4,5,5
478788,1,4,2,4,2,2,1,4,1,5,5,2,5,1,4,4,4,4,4,5,4,3,2,2,3,2,3,2,4,3,5,2,5,1,3,2,4,3,4,4,4,3,4,2,3,1,4,3,4,5
223607,3,1,5,2,4,2,4,4,4,4,4,2,4,4,2,4,3,2,4,2,1,4,2,5,1,4,2,3,4,4,2,3,1,2,3,3,5,3,3,3,2,4,3,2,4,2,3,2,4,3
907255,4,1,5,2,5,1,3,2,4,2,3,4,5,2,3,3,3,2,3,3,1,5,2,4,2,4,2,4,4,5,3,5,4,4,1,5,4,2,4,4,5,1,5,1,5,1,5,4,3,5
872358,4,2,3,4,3,2,3,4,2,4,4,4,4,3,2,2,2,1,3,2,1,5,2,4,2,3,2,4,4,4,4,2,5,3,2,2,2,1,5,5,3,2,3,2,4,2,4,2,5,4
341877,1,5,2,5,2,3,1,4,2,4,4,4,4,2,3,2,2,2,4,4,5,1,5,2,4,2,5,3,2,2,4,4,5,4,2,1,4,2,2,4,4,1,5,1,4,1,4,4,5,5
474013,3,2,4,3,3,3,3,3,2,4,3,3,3,2,2,3,4,4,3,3,4,4,2,5,1,5,3,4,4,3,2,4,3,3,3,5,3,3,3,4,3,3,4,2,4,2,4,2,3,3
583892,3,4,3,5,2,5,1,5,2,5,1,5,2,4,1,2,1,1,3,1,1,3,4,5,3,5,3,5,4,5,3,5,4,2,1,2,4,1,3,4,3,3,5,2,3,1,4,1,5,3
559601,1,5,1,5,1,3,1,1,1,5,2,4,1,5,1,1,1,1,1,1,3,3,2,1,3,1,4,1,1,1,3,1,5,1,4,3,3,1,4,5,5,1,5,1,5,1,5,4,4,5
797278,4,1,4,1,5,1,5,1,5,1,3,1,4,5,5,4,5,5,3,2,1,5,5,3,1,5,1,4,4,5,3,4,5,4,2,4,5,4,5,4,2,1,3,1,5,1,4,3,5,5
186710,2,2,2,3,3,3,1,4,5,5,3,5,5,2,2,4,2,2,2,4,3,4,1,4,2,4,3,2,4,3,2,3,5,5,2,5,5,2,3,4,3,1,2,1,5,2,4,2,5,5
533762,3,3,5,2,5,2,5,5,1,4,2,3,5,3,1,1,2,2,1,2,1,5,1,5,1,5,1,5,5,5,3,1,5,2,3,1,5,2,4,4,4,1,4,1,5,1,4,3,5,5
477208,3,3,5,3,5,1,5,5,3,1,1,5,1,5,1,1,1,1,1,1,1,5,1,5,5,5,1,5,5,5,3,1,5,1,5,1,5,1,1,5,3,3,3,3,5,1,3,1,5,3
570471,2,4,4,5,3,2,2,5,2,4,5,2,5,1,2,3,3,2,2,5,1,4,1,5,1,4,1,4,4,3,3,4,4,3,3,5,3,2,4,4,4,1,4,1,4,1,4,4,5,4
553396,1,2,5,2,5,1,5,3,2,1,1,5,3,5,1,1,1,1,1,1,3,5,1,3,3,3,2,4,3,5,5,1,5,1,5,1,5,1,5,5,4,2,3,2,4,1,5,1,3,4
577542,1,3,1,3,1,2,1,3,2,5,4,3,5,1,5,3,5,5,4,5,3,2,1,2,3,3,3,3,2,3,2,5,1,4,1,5,3,5,1,2,4,2,5,1,4,1,3,4,5,5
369341,3,3,3,3,4,3,3,4,3,4,4,3,5,3,4,5,3,3,4,3,2,4,3,5,1,4,1,5,5,5,4,3,5,3,3,3,3,3,4,3,4,3,4,3,5,3,4,3,4,5
232074,3,2,3,3,3,3,2,3,3,5,4,3,4,3,4,2,3,2,2,2,2,3,1,4,2,4,2,3,4,3,4,2,4,2,3,4,3,3,3,3,2,3,5,2,2,3,2,2,3,2
563649,3,2,2,4,5,2,3,4,1,3,5,2,4,1,4,4,3,3,4,4,1,5,1,5,1,4,1,3,5,4,4,2,4,2,4,1,3,1,4,5,5,1,5,1,3,1,4,4,5,4
10239,4,1,4,2,4,2,4,2,3,3,3,3,3,2,3,3,3,4,2,3,2,3,3,4,2,5,2,3,4,3,1,4,5,2,2,4,2,3,3,2,2,2,5,3,4,2,3,4,2,3
807625,3,3,4,2,5,5,3,4,2,5,5,5,5,3,4,5,4,4,5,3,2,4,5,5,2,4,3,5,4,5,4,4,5,3,5,4,3,2,5,4,3,4,1,4,3,4,4,2,5,3
89018,2,4,5,2,4,3,5,5,3,3,1,3,3,4,3,2,2,1,2,5,5,5,1,4,1,5,1,3,5,4,4,3,5,2,4,2,3,1,5,3,4,3,5,3,5,1,5,3,3,5
889813,3,2,3,5,4,4,3,5,5,5,5,1,5,3,2,5,5,5,5,3,1,4,4,5,1,4,1,5,5,5,3,4,4,3,2,1,5,5,4,3,3,2,5,4,4,1,3,3,4,4
978105,3,2,2,3,3,3,2,4,3,3,4,3,4,1,4,2,4,3,4,4,2,3,3,4,4,3,3,2,4,4,3,4,3,5,1,4,3,4,1,2,3,2,4,4,3,2,3,4,4,3
971144,3,4,2,4,4,3,4,5,2,4,4,2,5,1,5,5,4,4,5,4,2,4,2,4,2,4,2,4,4,3,4,1,5,2,4,5,4,1,4,5,4,3,5,3,4,1,1,4,5,5
514385,5,1,5,2,5,1,5,2,4,1,1,5,3,1,1,2,1,1,1,1,4,4,1,2,2,4,2,4,2,4,3,2,5,1,4,1,5,1,4,4,2,2,4,2,5,1,4,1,4,5
921925,2,4,4,2,4,3,4,2,4,2,2,4,3,1,2,2,2,2,1,2,4,4,2,3,2,3,2,4,3,4,4,3,4,3,3,4,2,2,3,3,3,1,4,2,4,2,5,2,2,4
586566,1,3,2,4,2,2,1,4,2,3,3,2,4,3,3,3,4,4,3,4,3,4,3,3,2,3,2,4,3,4,3,3,4,3,2,4,3,3,2,3,3,3,5,3,4,1,3,2,4,5
189730,4,4,3,2,4,3,3,4,1,5,4,3,3,1,4,1,4,2,4,1,3,3,5,2,3,4,3,2,2,4,4,1,4,1,4,1,3,3,3,4,4,4,4,3,4,2,3,4,5,3
985559,1,5,2,5,4,1,2,5,1,5,4,3,4,1,4,4,4,5,2,4,2,5,1,4,1,5,1,4,3,4,2,4,1,3,4,4,2,4,3,3,4,1,4,1,5,1,5,4,5,5
559377,1,5,2,5,2,4,1,5,1,5,4,2,4,1,2,2,2,1,2,4,2,3,4,4,2,2,2,4,4,4,2,2,4,4,2,2,4,4,2,4,4,1,4,1,3,2,5,3,5,3
159815,1,5,3,4,3,4,2,4,1,5,5,2,5,3,4,3,2,2,3,3,2,4,1,4,2,3,1,4,3,4,5,4,5,2,3,1,4,2,5,5,4,1,4,1,3,2,4,3,5,3
308391,3,1,3,4,2,1,4,5,1,5,2,4,3,5,2,3,2,1,2,1,1,5,1,5,1,3,1,4,4,3,3,4,5,4,3,2,2,2,1,4,5,2,4,2,4,1,4,5,4,3
560120,3,3,3,4,3,3,2,4,2,4,4,4,4,3,3,4,4,4,4,3,4,4,3,4,2,4,3,4,4,3,3,2,4,4,3,2,4,3,4,3,4,2,4,3,2,2,4,2,3,3
715468,4,1,4,1,5,1,4,2,4,2,2,4,2,2,4,1,2,1,2,1,3,4,4,4,1,4,1,4,4,5,5,1,4,1,4,1,4,1,4,4,5,3,4,2,4,1,5,4,4,4
578833,2,2,3,5,3,4,2,4,2,4,5,2,5,4,4,4,4,4,5,4,1,4,3,5,1,4,2,5,5,4,4,3,5,3,3,5,4,2,4,3,4,2,5,2,3,2,4,2,4,4
595324,2,1,4,4,5,1,5,5,1,1,4,3,3,3,1,4,3,2,4,1,2,5,3,5,1,5,1,5,5,5,3,5,3,4,1,5,1,1,3,5,3,3,2,3,3,5,4,2,4,3
173213,1,4,1,5,3,3,1,5,1,5,4,4,5,1,4,2,4,3,3,4,3,4,1,3,4,4,2,2,3,3,2,2,4,2,2,1,4,2,2,2,2,2,2,1,2,4,4,2,5,3
3533,2,1,3,3,5,2,5,3,1,2,3,3,4,4,1,2,1,1,2,1,1,5,1,5,1,4,1,5,5,4,3,3,2,1,3,3,3,1,3,3,4,2,3,4,3,3,4,3,4,3
330645,5,2,4,4,4,2,4,3,3,3,3,5,4,4,3,3,2,2,4,1,2,5,3,4,3,4,2,5,4,4,3,5,3,2,3,4,2,1,2,3,1,2,4,1,4,4,4,2,3,4
379296,3,3,3,3,3,2,3,3,3,4,4,2,4,3,3,2,2,2,2,3,3,4,2,3,3,5,2,2,3,3,4,2,4,2,4,2,4,2,5,4,4,2,4,2,3,2,4,4,4,3
906329,4,2,5,2,4,3,5,3,3,4,3,3,4,2,1,3,3,2,3,2,3,5,4,4,1,1,1,4,2,5,3,2,2,2,3,1,3,2,1,5,1,2,4,2,4,2,4,2,5,4
734474,2,3,1,4,3,3,1,4,3,5,1,5,2,4,1,1,1,1,4,2,5,2,5,1,5,1,4,1,1,1,4,3,4,4,5,2,4,1,2,4,5,1,5,1,5,1,5,5,4,5
30044,3,3,3,3,2,4,2,4,4,4,5,4,4,2,3,1,3,2,2,3,2,2,1,5,2,4,2,4,5,3,4,4,4,3,2,2,4,1,4,4,3,2,5,1,4,1,4,3,2,4
331114,3,3,4,4,3,2,2,5,1,4,3,3,3,1,1,1,4,4,2,4,2,3,2,5,1,5,1,5,5,5,4,1,4,1,5,1,5,2,5,4,4,1,4,1,3,1,5,3,5,5
564871,2,5,3,5,3,1,2,5,3,5,3,3,4,2,3,2,3,3,4,4,3,3,2,5,3,3,3,3,2,4,5,2,5,1,5,2,5,1,5,5,5,1,4,1,4,2,5,5,5,5
149234,5,1,4,2,5,1,2,2,5,3,2,4,4,4,2,4,4,4,4,2,2,5,2,4,2,4,2,4,5,4,2,3,5,2,2,3,3,4,2,4,4,3,5,1,4,1,2,4,5,4
196533,3,4,5,3,5,3,4,4,5,4,2,5,3,3,3,1,1,1,1,1,1,5,1,5,1,4,1,5,5,4,4,3,4,3,2,4,4,1,3,4,3,3,4,3,3,2,3,3,5,3
579378,1,2,2,3,2,3,2,2,3,1,4,3,4,2,3,5,4,4,2,4,4,3,2,3,3,3,3,2,5,1,2,3,3,5,4,3,5,4,3,3,5,2,4,2,4,4,4,5,5,5
69518,3,1,5,5,5,1,1,5,5,3,2,5,2,2,1,1,1,1,2,1,1,5,1,5,1,5,1,5,5,5,4,1,4,2,3,2,4,1,4,5,4,1,5,1,5,1,5,3,5,5
259162,2,4,5,4,3,2,3,5,4,4,2,5,3,5,1,1,3,1,2,1,1,4,3,4,2,3,2,3,4,3,5,3,5,2,4,2,4,2,4,4,5,1,5,1,4,1,5,5,5,5
677566,1,5,2,5,1,2,1,4,1,5,2,4,4,1,2,2,1,2,2,4,4,2,4,2,4,4,2,4,2,3,4,4,5,1,1,1,4,4,1,4,4,2,3,2,4,2,4,3,4,3
425628,4,2,5,2,5,2,5,2,4,2,2,4,2,5,2,3,3,2,3,2,2,5,2,4,2,5,2,4,4,3,4,4,5,3,4,4,4,2,4,4,5,1,4,1,4,2,5,4,4,4
307790,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
537289,3,4,2,2,2,2,2,3,4,4,4,1,5,1,3,2,5,5,4,5,2,4,2,4,2,3,2,4,4,3,2,3,5,4,3,2,3,1,3,5,5,1,5,1,3,1,4,5,5,5
419637,2,4,2,5,2,5,2,4,4,5,5,2,4,3,1,3,4,4,4,4,2,3,1,3,5,1,4,4,1,5,1,3,5,2,2,4,5,4,5,2,5,3,5,4,4,1,5,5,5,3
81865,3,3,4,2,4,2,4,4,4,1,1,3,3,2,1,3,3,3,4,2,2,4,2,2,2,2,2,4,2,4,4,1,5,1,3,2,4,1,3,3,3,2,5,1,5,1,4,3,2,5
319289,1,4,4,4,3,2,4,5,1,4,5,1,5,1,4,4,3,3,3,4,1,3,2,5,1,4,2,2,5,5,5,2,4,2,1,3,4,3,2,4,2,1,3,1,3,3,5,2,4,5
110346,3,3,4,4,4,1,4,2,5,2,1,5,4,2,4,2,3,4,4,4,1,5,2,5,1,4,2,5,5,5,5,1,4,2,5,1,4,1,4,4,5,1,4,2,5,2,4,5,5,5
196592,3,4,2,5,2,3,1,4,2,5,5,3,5,2,3,4,4,2,4,5,2,4,5,4,3,1,3,5,5,1,3,5,5,4,1,3,5,5,5,5,4,1,5,1,3,2,5,3,5,5
659557,1,5,1,5,2,5,1,5,1,5,3,2,4,3,3,4,1,2,4,3,1,3,1,4,3,3,4,3,3,4,5,5,5,3,2,5,1,2,5,5,5,1,5,1,4,1,5,5,4,3
341160,3,2,4,4,4,2,4,4,4,3,4,3,3,3,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,3,3,2,3,4,2,4,3,4,3,3,4,2,4,4,4,2,4,4,4,4
552720,2,2,1,1,3,1,1,5,2,5,5,2,4,1,1,3,5,5,5,5,2,4,1,4,1,3,2,4,2,5,5,1,5,2,3,1,5,1,5,4,5,2,5,2,4,1,5,5,5,3
462741,4,1,5,2,4,1,3,5,5,4,4,3,5,2,1,5,3,4,2,2,1,5,2,5,1,5,1,5,5,5,3,4,4,3,1,5,2,4,3,4,5,2,5,2,5,1,5,4,3,5
171112,3,3,4,3,4,3,3,3,3,2,2,4,3,4,3,2,1,1,1,1,1,4,3,4,3,4,1,4,4,4,4,2,4,2,3,2,3,2,3,4,4,1,4,2,4,4,4,4,2,3
233538,2,4,4,4,4,3,3,1,1,5,2,5,4,4,2,2,2,1,4,1,2,3,3,4,4,4,4,4,4,4,4,5,5,3,2,4,4,2,3,4,4,3,4,4,4,2,2,3,4,2
554754,4,3,4,4,4,2,3,2,4,2,4,2,4,5,4,5,5,5,4,5,4,3,2,4,3,2,3,3,3,3,4,2,3,5,2,3,2,3,3,3,3,3,4,2,2,3,3,4,3,3
860979,2,4,1,5,2,4,2,5,2,5,5,1,5,1,1,4,4,4,4,5,2,3,1,5,2,4,4,3,5,2,2,5,2,4,1,4,4,2,2,2,3,2,4,1,4,1,3,4,5,5
924278,3,3,5,5,5,2,5,4,4,4,2,5,2,5,2,1,2,1,2,1,1,5,5,2,1,5,1,5,2,5,3,5,5,3,2,3,5,3,2,3,5,2,5,2,5,1,5,5,5,5
475933,2,2,4,3,5,2,2,5,2,2,3,5,5,5,3,2,4,2,3,1,1,4,1,5,1,5,2,5,3,5,4,3,5,1,3,2,5,3,5,5,3,3,5,3,4,1,4,3,5,4
195203,3,3,2,4,3,2,2,4,2,5,4,2,4,3,4,4,2,2,4,2,2,4,2,3,2,3,2,4,3,4,4,4,4,2,2,4,4,3,2,3,4,2,4,2,3,2,4,4,4,4
699988,3,2,4,2,4,2,4,2,3,3,4,2,5,2,4,4,4,3,4,3,1,5,1,5,2,5,1,4,5,5,4,2,5,1,4,2,5,1,5,5,5,2,5,2,4,2,5,4,5,5
350468,4,3,3,2,4,1,3,2,4,4,2,4,3,2,2,3,3,2,2,2,2,4,2,4,2,3,2,3,5,4,4,3,5,1,4,2,4,1,4,4,5,1,4,1,5,1,5,5,4,5
907015,4,3,2,3,4,1,4,3,3,2,2,3,4,2,2,2,3,3,4,4,3,2,4,2,3,1,3,4,2,2,2,2,4,4,2,4,2,4,2,3,4,3,4,2,3,2,3,4,5,4
262489,3,3,4,4,2,2,2,5,1,5,2,3,4,3,2,2,4,4,3,3,4,2,4,2,4,2,3,4,2,4,2,4,4,4,3,2,4,2,4,4,4,2,4,4,4,2,4,4,1,4
409086,2,3,3,3,3,3,2,3,2,4,3,3,4,3,4,3,5,2,4,3,2,3,2,3,3,3,4,2,2,3,3,2,3,4,4,4,2,1,3,3,2,3,4,3,3,3,4,2,4,3
754034,1,4,2,5,3,4,1,5,1,5,2,4,4,3,4,4,3,2,2,3,1,4,1,4,4,5,3,4,5,4,4,4,5,2,3,4,4,2,4,5,4,4,4,4,5,2,5,3,4,4
45411,1,4,3,4,3,3,1,5,1,4,4,2,4,2,4,2,3,3,2,4,2,4,2,4,2,3,2,4,4,4,3,3,4,3,3,2,4,2,2,3,4,3,5,3,2,2,3,3,4,4
116687,3,3,5,2,4,2,2,4,4,2,5,5,5,1,1,2,2,1,2,5,1,5,1,4,2,5,2,4,2,5,1,2,5,2,1,1,4,4,1,2,3,5,2,5,4,4,5,1,5,2
232629,1,5,2,5,1,1,1,5,1,5,5,4,5,2,2,5,1,1,4,2,4,1,2,1,3,4,2,2,2,5,5,5,2,4,4,2,4,1,5,4,1,1,5,1,4,1,4,1,1,5
916436,2,3,4,4,3,2,3,3,3,4,3,3,3,2,3,1,1,1,1,1,2,4,3,2,2,3,2,3,2,3,4,3,4,1,2,2,4,1,3,4,4,2,4,2,3,2,4,4,5,3
945880,1,3,3,3,3,1,1,1,3,1,5,3,3,1,3,1,1,1,1,1,3,3,1,5,3,3,1,3,5,1,5,3,5,1,3,1,5,3,5,5,3,3,1,3,3,5,5,3,1,3
301986,3,1,5,2,4,1,4,2,2,3,5,3,5,3,4,4,5,3,4,2,5,5,3,5,2,5,2,2,3,2,2,3,4,3,3,5,4,2,1,4,3,1,5,1,4,1,3,1,5,5
609480,3,4,3,3,3,4,3,3,3,4,3,3,5,2,1,3,4,3,3,4,4,4,1,4,2,4,2,3,4,4,4,5,3,3,2,4,3,2,3,4,3,2,4,2,4,2,4,3,2,3
566393,3,5,4,3,4,1,3,3,3,2,4,3,3,4,5,3,3,1,3,3,1,3,1,3,5,4,3,1,2,3,3,1,3,4,1,1,5,4,4,3,4,1,5,1,3,1,3,1,5,5
42957,5,3,2,4,2,4,2,1,2,4,2,4,3,1,2,2,3,2,3,1,4,3,4,3,1,5,2,4,3,5,3,4,4,2,2,2,3,3,4,4,3,2,4,2,4,2,4,2,3,4
292288,3,4,1,3,1,5,1,5,1,5,3,3,4,1,4,1,3,3,3,3,2,1,4,2,3,2,4,3,1,2,1,5,5,4,1,5,3,3,3,3,5,1,5,1,5,1,3,5,5,5
329162,3,4,3,4,3,2,2,4,3,4,2,4,4,2,2,2,4,2,3,2,1,3,2,4,2,3,3,3,3,4,5,2,3,2,2,2,4,2,3,3,4,2,3,2,4,2,5,4,4,4
528477,3,1,5,3,4,1,4,2,2,4,4,4,4,3,2,4,2,1,5,2,1,5,2,4,2,5,1,5,4,5,5,1,5,1,5,1,5,1,4,5,5,1,2,2,5,4,5,4,4,5
211234,2,4,3,4,2,3,2,4,2,4,2,4,2,4,2,2,2,2,3,1,3,2,3,3,4,3,3,4,3,2,4,2,4,2,3,4,3,3,4,3,4,2,3,2,4,2,4,4,4,3
